steps,return
60,-8430.896743837091
61,-8375.66120379204
62,-8347.169357509614
63,-8416.991135384673
64,-8446.112825646653
65,-8435.434421179983
66,-8447.5194876872
67,-8502.48350557175
68,-8487.119689875233
69,-8479.217931229772
70,-8511.526251438549
71,-8610.61731593225
72,-8548.155756532553
73,-8576.241124739478
74,-8594.536040577823
75,-8675.982196249028
76,-8639.856348970967
77,-8673.922794473874
78,-8643.421259285815
79,-8632.24571576011
80,-8660.600143293237
81,-8654.908360652342
82,-8721.012683734622
83,-8705.517597612754
84,-8768.003594648491
85,-8755.776059380469
86,-8743.945089601053
87,-8772.100072540074
88,-8779.447892760276
89,-8853.530605608608
90,-8857.117503394995
91,-8917.322994144142
92,-8955.326474808857
93,-8952.806286743165
94,-8932.86841887123
95,-8898.940794851256
96,-8924.958128325852
97,-8905.938183828232
98,-8892.69237991616
99,-8936.630809382295
